epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,1937.9,1.08462,1.24497,1.34466,0.68427,0.7324,0.73499,0.38611,1.60513,1.28801,1.74352,0.0009705,0.0003235,0.0009705,0.0003235,0.0009705,0.0003235,0.0009705,0.0003235
84,1961.25,1.09371,1.25477,1.35367,0.70028,0.73134,0.73862,0.39511,1.56999,1.26818,1.73022,0.00094575,0.00031525,0.00094575,0.00031525,0.00094575,0.00031525,0.00094575,0.00031525
85,1984.58,1.0923,1.24468,1.34858,0.70466,0.7131,0.73497,0.39189,1.58819,1.27979,1.72862,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
86,2007.73,1.07611,1.23245,1.33349,0.67149,0.72662,0.72948,0.3891,1.58305,1.28814,1.72298,0.00089625,0.00029875,0.00089625,0.00029875,0.00089625,0.00029875,0.00089625,0.00029875
87,2030.95,1.05525,1.20962,1.32999,0.69343,0.72573,0.7341,0.3866,1.59087,1.28415,1.73234,0.0008715,0.0002905,0.0008715,0.0002905,0.0008715,0.0002905,0.0008715,0.0002905
88,2055.02,1.07691,1.20874,1.32848,0.74217,0.70367,0.74897,0.39724,1.59662,1.26986,1.74326,0.00084675,0.00028225,0.00084675,0.00028225,0.00084675,0.00028225,0.00084675,0.00028225
89,2078.48,1.07111,1.21545,1.33077,0.73169,0.70382,0.74614,0.39868,1.58424,1.25897,1.73349,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274,0.000822,0.000274
90,2101.57,1.07444,1.20914,1.33125,0.74621,0.69711,0.73921,0.39677,1.58201,1.27097,1.72754,0.00079725,0.00026575,0.00079725,0.00026575,0.00079725,0.00026575,0.00079725,0.00026575
91,2125.3,1.08055,1.2367,1.34002,0.74483,0.70945,0.74699,0.39314,1.61144,1.25497,1.74453,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
92,2148.23,1.08261,1.22188,1.33628,0.70168,0.75714,0.75035,0.40152,1.57365,1.25411,1.71997,0.00074775,0.00024925,0.00074775,0.00024925,0.00074775,0.00024925,0.00074775,0.00024925
93,2171.13,1.07706,1.22945,1.32553,0.69485,0.74315,0.75245,0.39867,1.58736,1.25603,1.72954,0.000723,0.000241,0.000723,0.000241,0.000723,0.000241,0.000723,0.000241
